cycle,level,air_flow,feed_flow,tailings_flow,concentrate_grade,emergency_stop,motor_running
187,50.188,30.000,40.000,38.000,82.054,false,true
188,50.189,30.000,40.000,38.000,82.054,false,true
189,50.190,30.000,40.000,38.000,82.054,false,true
190,50.191,30.000,40.000,38.000,82.054,false,true
191,50.192,30.000,40.000,38.000,82.054,false,true
192,50.193,30.000,40.000,38.000,82.054,false,true
193,50.194,30.000,40.000,38.000,82.054,false,true
194,50.195,30.000,40.000,38.000,82.054,false,true
195,50.196,30.000,40.000,38.000,82.054,false,true
196,50.197,30.000,40.000,38.000,82.054,false,true
197,50.198,30.000,40.000,38.000,82.054,false,true
198,50.199,30.000,40.000,38.000,82.054,false,true
199,50.200,30.000,40.000,38.000,82.054,false,true
200,50.201,30.000,40.000,38.000,82.054,false,true
201,50.202,30.000,40.000,38.000,82.054,false,true
202,50.203,30.000,40.000,38.000,82.054,false,true
203,50.204,30.000,40.000,38.000,82.054,false,true
204,50.205,30.000,40.000,38.000,82.054,false,true
205,50.206,30.000,40.000,38.000,82.054,false,true
206,50.207,30.000,40.000,38.000,82.054,false,true
207,50.208,30.000,40.000,38.000,82.054,false,true
208,50.209,30.000,40.000,38.000,82.054,false,true
209,50.210,30.000,40.000,38.000,82.054,false,true
210,50.211,30.000,40.000,38.000,82.054,false,true
211,50.212,30.000,40.000,38.000,82.054,false,true
212,50.213,30.000,40.000,38.000,82.054,false,true
213,50.214,30.000,40.000,38.000,82.054,false,true
214,50.215,30.000,40.000,38.000,82.054,false,true
215,50.216,30.000,40.000,38.000,82.054,false,true
216,50.217,30.000,40.000,38.000,82.054,false,true
217,50.218,30.000,40.000,38.000,82.054,false,true
218,50.219,30.000,40.000,38.000,82.054,false,true
219,50.220,30.000,40.000,38.000,82.054,false,true
220,50.221,30.000,40.000,38.000,82.054,false,true
221,50.222,30.000,40.000,38.000,82.054,false,true
222,50.223,30.000,40.000,38.000,82.054,false,true
223,50.224,30.000,40.000,38.000,82.054,false,true
224,50.225,30.000,40.000,38.000,82.054,false,true
225,50.226,30.000,40.000,38.000,82.055,false,true
226,50.227,30.000,40.000,38.000,82.055,false,true
227,50.228,30.000,40.000,38.000,82.055,false,true
228,50.229,30.000,40.000,38.000,82.055,false,true
229,50.230,30.000,40.000,38.000,82.055,false,true
230,50.231,30.000,40.000,38.000,82.055,false,true
231,50.232,30.000,40.000,38.000,82.055,false,true
232,50.233,30.000,40.000,38.000,82.055,false,true
233,50.234,30.000,40.000,38.000,82.055,false,true
234,50.235,30.000,40.000,38.000,82.055,false,true
235,50.236,30.000,40.000,38.000,82.055,false,true
236,50.237,30.000,40.000,38.000,82.055,false,true
237,50.238,30.000,40.000,38.000,82.055,false,true
238,50.239,30.000,40.000,38.000,82.055,false,true
239,50.240,30.000,40.000,38.000,82.055,false,true
240,50.241,30.000,40.000,38.000,82.055,false,true
241,50.242,30.000,40.000,38.000,82.055,false,true
